gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000063489,2017-11-21,GMW000000004894,B48E0224,1,-126.3,-131.3,1.21,132.51,0.05,,1.4,,0.01,,7.7,1900
GAR000000054635,2008-02-05,GMW000000004896,B55A0364,1,-98.42,-128.42,1.58,130.0,,,,,,,,2399
GAR000000055090,2016-02-24,GMW000000004896,B55A0364,1,-98.42,-128.42,1.58,130.0,0.22,LT,0.8,,0.03,,,110
GAR000000004417,1998-10-29,GMW000000037652,B26D0021,5,-127.31,-128.31,-3.42,124.89,0.11,LT,1.86,,0.006,LT,1,13
GAR000000004309,1994-11-28,GMW000000037610,B26B0109,4,-127.18,-128.18,-4.2,123.98,0.01,LT,2.48,,0.01,LT,2.8,20
GAR000000004310,1998-11-11,GMW000000037610,B26B0109,4,-127.18,-128.18,-4.2,123.98,0.11,LT,3.11,,0.006,LT,1.1,25
GAR000000004311,2015-10-06,GMW000000037610,B26B0109,4,-127.18,-128.18,-4.2,123.98,0.05,LT,2.6,,0.01,,6.9,19
GAR000000004680,2015-10-22,GMW000000011600,B21C0171,3,-127.08,-128.08,0.05,128.13,0.07,,3.7,,0.01,LT,5.5,540
GAR000000005341,1997-09-19,GMW000000011600,B21C0171,3,-127.08,-128.08,0.05,128.13,0.11,LT,4.35,,0.006,LT,8.9,440
GAR000000005342,2003-01-15,GMW000000011600,B21C0171,3,-127.08,-128.08,0.05,128.13,0.11,LT,3.73,,0.006,LT,7.8,520
GAR000000005343,2019-01-30,GMW000000011600,B21C0171,3,-127.08,-128.08,0.05,128.13,0.05,LT,3.1,,0.01,LT,9.5,190
GAR000000065356,2024-10-02,GMW000000011600,B21C0171,3,-127.08,-128.08,0.05,128.13,1,,3.68,,0.01,LT,514.59,513.46
GAR000000005370,1994-11-25,GMW000000037733,B25F0103,4,-126.06,-128.06,1.92,129.98,0.01,LT,0.68,,0.01,LT,1.4,920
GAR000000005371,1998-11-19,GMW000000037733,B25F0103,4,-126.06,-128.06,1.92,129.98,0.11,LT,1.01,,0.006,LT,2,970
GAR000000004029,1996-11-28,GMW000000011596,B27A0220,4,-126.5,-127.5,-1.12,126.38,0.11,LT,0.08,,0.006,,0.8,10
GAR000000004030,2015-10-16,GMW000000011596,B27A0220,4,-126.5,-127.5,-1.12,126.38,0.05,LT,0.09,,0.01,LT,5,8
