krw_code,station_name,x_rd,y_rd,lat,lon,year,Ntot_zomergem_mgL,Ptot_zomergem_mgL
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2006,1.75,0.117
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2007,1.88,0.132
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2008,1.76,0.124
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2009,1.7,0.119
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2010,1.5,0.107
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2011,1.38,0.114
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2012,1.41,0.138
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2013,1.36,0.132
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2014,1.47,0.13
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2015,1.47,0.12
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2016,1.53,0.13
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2017,1.43,0.137
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2018,1.43,0.153
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2019,1.4,0.163
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2020,1.43,0.153
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2021,1.37,0.14
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2022,1.3,0.137
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2023,1.4,0.153
NL14_09,Maartensdijk,140125.70280026962,463383.368296409,52.15841882253367,5.169835543792601,2024,1.63,0.207
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2000,3.86,0.396
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2001,3.66,0.479
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2002,3.21,0.503
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2003,2.95,0.477
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2004,2.58,0.452
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2005,2.97,0.43
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2006,2.88,0.477
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2007,3.19,0.579
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2008,2.72,0.558
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2009,2.45,0.583
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2010,2.28,0.416
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2011,2.97,0.421
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2012,3.26,0.36
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2013,3.31,0.371
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2014,2.65,0.431
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2015,2.49,0.438
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2016,2.33,0.485
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2017,2.27,0.397
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2018,2.19,0.41
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2019,1.93,0.387
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2020,1.93,0.34
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2021,1.9,0.333
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2022,2,0.3
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2023,2.1,0.31
NL14_10,Hollandse IJssel,130964.60917009655,449088.3231589299,52.02961411978622,5.0369680388496665,2024,2.2,0.29
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2000,2.02,0.711
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2001,2.42,0.861
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2002,2.47,0.839
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2003,2.83,0.721
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2004,2.76,0.604
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2005,2.84,0.681
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2006,2.87,0.816
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2007,2.97,0.869
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2008,2.68,0.687
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2009,2.23,0.624
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2010,2,0.495
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2011,2.37,0.479
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2012,2.49,0.465
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2013,2.43,0.504
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2014,2.73,0.683
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2015,2.77,0.663
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2016,3.1,0.753
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2017,2.43,0.587
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2018,2.9,0.76
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2019,2.57,0.663
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2020,2.53,0.613
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2021,1.97,0.437
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2022,1.9,0.37
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2023,2.1,0.39
NL14_11,De Keulevaart,116587.65863876801,444916.5410649941,51.99130954754121,4.827948086697875,2024,2.43,0.463
NL14_12,De Pleijt,128456.52898413004,448310.2456468325,52.02250643124066,5.0004823176168625,1990,,0.263
NL14_12,De Pleijt,128456.52898413004,448310.2456468325,52.02250643124066,5.0004823176168625,1991,,0.243
