gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000064949,GMW000000017645,1,2024-09-25T12:00:00+02:00,0.05,mg/l,0.01,mg/l,15.3,mg/l,,,4.67,mg/l,4.7,mg/l,61.1,mg/l,1,mg/l,772.19,mg/l,182.81,mg/l,19.32,mg/l,43.76,mg/l,38.87,mg/l,1270.47,ug/l,625.5,ug/l
GAR000000064951,GMW000000017645,4,2024-09-25T12:00:00+02:00,2.41,mg/l,0.01,mg/l,35.41,mg/l,,,0.01,mg/l,4.77,mg/l,82.44,mg/l,1,mg/l,1102.81,mg/l,209.27,mg/l,29.38,mg/l,63.6,mg/l,72.15,mg/l,21846.96,ug/l,1070.75,ug/l
GAR000000065362,GMW000000037663,2,2024-09-25T12:00:00+02:00,0.19,mg/l,0.01,mg/l,22.28,mg/l,,,0.01,mg/l,1.38,mg/l,1737.78,mg/l,7.69,mg/l,781.16,mg/l,458.63,mg/l,93.62,mg/l,815.36,mg/l,14.37,mg/l,30703.22,ug/l,3166.2,ug/l
GAR000000064286,GMW000000038864,3,2024-09-26T06:57:36+02:00,0.18,mg/l,0.01,mg/l,2.64,mg/l,,,0.01,mg/l,0.41,mg/l,32.24,mg/l,19.55,mg/l,410.89,mg/l,105.8,mg/l,5.43,mg/l,16.06,mg/l,1.94,mg/l,50604.34,ug/l,505.11,ug/l
GAR000000065325,GMW000000011640,1,2024-09-26T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.12,mg/l,,,0.01,mg/l,0.2,mg/l,35.51,mg/l,216.97,mg/l,427.36,mg/l,209.75,mg/l,14.17,mg/l,15.78,mg/l,5.2,mg/l,1539.81,ug/l,233.33,ug/l
GAR000000065391,GMW000000037614,1,2024-09-26T12:00:00+02:00,0.05,mg/l,0.01,mg/l,1.04,mg/l,,,0.01,mg/l,0.29,mg/l,87.17,mg/l,356.36,mg/l,459.94,mg/l,219.3,mg/l,30.3,mg/l,68.81,mg/l,19.63,mg/l,18410.99,ug/l,5032.51,ug/l
GAR000000065393,GMW000000037614,3,2024-09-26T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.14,mg/l,,,0.01,mg/l,0.13,mg/l,99.85,mg/l,1,mg/l,149.14,mg/l,58.6,mg/l,3.76,mg/l,45.6,mg/l,1.43,mg/l,4029.28,ug/l,366.67,ug/l
GAR000000065397,GMW000000037633,2,2024-09-26T12:00:00+02:00,0.39,mg/l,0.01,mg/l,1.37,mg/l,,,0.01,mg/l,0.12,mg/l,1099.01,mg/l,6.47,mg/l,285.72,mg/l,309.12,mg/l,22.63,mg/l,397.26,mg/l,3.56,mg/l,18195.2,ug/l,1300.77,ug/l
GAR000000065395,GMW000000037712,2,2024-09-26T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.23,mg/l,,,0.02,mg/l,0.1,mg/l,8.63,mg/l,3.64,mg/l,149.69,mg/l,35.97,mg/l,2.18,mg/l,15.15,mg/l,0.75,mg/l,652.5,ug/l,195.23,ug/l
GAR000000064842,GMW000000038855,3,2024-09-27T12:00:00+02:00,0.05,mg/l,0.01,mg/l,7.86,mg/l,,,0.55,mg/l,1.54,mg/l,69.67,mg/l,1,mg/l,376.24,mg/l,61.92,mg/l,23.75,mg/l,50.07,mg/l,14.75,mg/l,2998.33,ug/l,282.22,ug/l
